date,deaths
2013-04-02,2
2013-11-02,1
2014-07-04,1
2014-07-04,3
2014-07-14,1
2014-12-30,1
2015-01-22,1
2015-06-25,1
2015-11-18,1
2015-12-22,1
2015-12-28,1
2016-01-20,1
2016-04-08,1
2016-04-22,1
2016-05-07,1
2016-06-08,1
2016-07-22,1
2016-07-29,1
2016-08-15,1
2016-09-01,1
2016-09-07,1
2016-10-07,1
2016-10-10,1
2016-11-03,2
2016-11-23,1
2016-12-20,1
2017-01-17,1
2017-03-13,1
2017-04-26,1
2017-05-11,1
2017-06-10,1
2017-06-25,1
2017-07-21,1
2017-08-13,1
2017-09-24,1
2017-11-14,1
2017-11-14,1
2017-11-22,1
2018-03-12,1
2018-03-12,1
2018-03-23,1
2018-04-28,1
2018-04-29,1
2018-05-08,2
2018-05-10,1
2018-05-20,1
2018-07-24,1
2018-08-04,1
2018-09-15,2
2018-09-21,1
2018-10-26,1
2018-11-09,2
2018-11-10,1
2018-11-15,1
2018-12-26,1
2018-12-30,1
2019-01-30,1
2019-02-18,1
2019-02-24,1
2019-03-01,1
2019-03-10,1
2019-03-18,1
2019-04-15,1
2019-04-25,1
2019-04-30,1
2019-05-31,1
2019-06-04,1
2019-06-07,1
2019-06-30,1
2019-07-08,1
2019-07-13,1
2019-07-21,1
2019-08-04,1
2019-08-15,1
2019-08-24,1
2019-09-01,2
2019-09-07,1
2019-09-08,1
2019-09-11,1
2019-09-11,1
2019-09-17,1
2019-09-22,1
2019-10-12,1
2019-10-17,1
2019-10-19,1
2019-11-01,1
2019-11-07,1
2019-11-10,1
2019-11-14,1
2019-11-20,1
2019-11-20,1
2019-11-20,1
2019-11-21,1
2019-11-22,1
2019-11-24,1
2019-12-01,2
2019-12-10,1
2019-12-11,1
2019-12-19,2
2019-12-23,1
2019-12-29,2
2019-12-29,1
2020-01-04,1
2020-01-05,1
2020-01-18,1
2020-01-19,1
2020-01-21,1
2020-01-31,1
2020-02-24,3
2020-03-04,1
2020-03-08,1
2020-04-01,1
2020-04-03,1
2020-04-24,1
2020-05-04,1
2020-05-05,1
2020-05-14,1
2020-05-25,1
2020-06-08,1
2020-06-17,1
2020-06-21,3
2020-06-23,1
2020-07-18,1
2020-08-02,2
2020-08-12,2
2020-08-13,1
2020-08-24,1
2020-09-05,2
2020-09-06,1
2020-09-12,1
2020-09-17,1
2020-10-07,1
